# ra,    dec,  Vmag,   B-V;  This data is extracted from SKY2000 Master Catalog, Version 4 <Goddard Space Flight Center, Flight Dynamics Division (2002)>
ra	dec	vmag	bv
126.3981	2.1022	5.72	1.511
126.4151	-3.9064	3.89	0.002
126.4341	-66.1369	3.77	1.131
126.4650	-64.6006	5.94	0.963
126.4663	-42.1531	5.45	-0.146
126.4782	7.5645	5.12	0.929
126.4816	-14.9297	5.96	0.169
126.6154	27.8936	5.58	1.406
126.6748	-12.5346	5.52	1.171
126.6831	12.6546	5.58	1.533
126.8198	-70.0935	5.52	-0.021
126.9024	-53.0885	5.08	0.262
126.9976	-35.1138	5.75	-0.154
127.1556	14.2108	5.96	0.194
127.2125	-9.7486	6.00	0.431
127.2698	-47.9289	5.33	-0.140
127.3645	-44.7248	5.19	-0.177
127.4401	-46.3317	5.98	-0.129
127.4425	67.2974	5.88	0.969
127.5661	60.7182	3.36	0.847
127.6192	-32.1593	5.60	1.502
127.8772	24.0811	5.70	0.321
127.8789	-19.5775	5.42	-0.057
127.8989	18.0944	5.35	1.558
128.1771	20.4412	5.34	1.252
128.2291	38.0164	5.88	1.112
128.4101	-38.8488	5.92	-0.116
128.4312	4.7570	5.86	1.067
128.5067	-2.1516	5.80	0.004
128.6817	-49.9442	4.98	1.330
128.6829	36.4196	5.76	0.048
128.8321	-58.0092	4.85	0.992
128.8675	-7.9823	5.73	-0.010
128.9624	6.6202	5.91	0.520
128.9668	-50.9697	5.79	-0.127
129.2740	9.6556	5.92	0.083
129.3285	-62.8535	5.46	1.018
129.4110	-42.9891	4.14	0.106
129.4140	5.7038	4.14	0.019
129.4673	-26.2550	5.25	-0.033
129.5791	32.8020	5.96	1.109
129.5924	53.4015	5.66	0.961
129.6893	3.3414	4.45	1.215
129.7715	-70.3867	5.19	0.010
129.7829	-22.6619	5.05	0.720
129.9270	-29.5611	4.88	0.889
130.0061	-12.4754	4.97	1.409
130.0256	-35.3084	3.97	0.921
130.0534	64.3279	4.59	1.180
130.0733	-52.9219	3.60	-0.159
130.0799	-40.2639	5.21	-0.017
130.1543	-59.7610	4.33	-0.126
130.1565	-46.6487	3.81	0.663
130.2545	45.8340	5.37	0.980
130.3313	-78.9634	5.46	-0.098
130.4306	-15.9434	4.87	1.060
130.4871	-45.4107	5.24	0.161
130.5675	-48.0991	5.48	-0.175
130.8014	12.6809	5.63	0.420
130.8061	3.3987	4.29	-0.179
130.8214	21.4685	4.67	0.021
130.8981	-33.1864	3.69	-0.174
130.9178	-49.8228	5.15	-0.198
130.9182	-7.2337	4.64	0.820
131.0998	-42.6493	4.06	0.866
131.1712	18.1543	3.93	1.088
131.1759	-54.7088	1.94	0.086
131.1877	10.0817	5.63	-0.072
131.2164	-37.1472	5.74	-0.140
131.5069	-46.0415	3.90	0.010
131.5939	-13.5477	4.32	0.894
131.6743	28.7599	4.02	0.988
131.6773	-56.7698	4.50	-0.168
131.6938	6.4188	3.40	0.687
131.7334	12.1100	5.89	0.116
131.8124	-1.8970	5.28	0.054
132.3405	-3.4430	5.30	-0.083
132.4132	-40.3202	5.47	0.068
132.4485	-45.3079	4.95	0.034
132.4646	-32.7805	5.20	0.868
132.5093	-29.4630	5.87	0.932
132.5876	-42.0898	6.00	-0.118
132.6330	-27.7098	4.02	1.270
132.6451	-66.7930	5.34	0.421
132.8934	-7.1772	5.57	0.153
132.9021	-57.6336	5.59	-0.105
132.9868	43.7266	5.15	0.966
133.0418	42.0027	5.98	1.248
133.1443	32.4742	5.67	0.225
133.2001	-38.7241	5.81	1.508
133.3440	61.9623	5.72	0.298
133.5614	30.5791	5.42	1.060
133.5748	-5.4345	6.00	0.670
133.7618	-60.6446	3.84	-0.092
133.7991	-54.9658	5.71	0.488
133.8018	-18.2412	5.74	1.334
133.8484	5.9456	3.12	1.001
133.8815	-27.6819	4.88	0.131
133.9153	27.9275	5.23	0.983
134.0803	-52.7235	4.71	-0.119
134.1271	40.2015	5.90	0.375
134.1560	64.6038	5.57	0.879
134.1708	-85.6632	5.43	0.299
134.3123	15.3228	5.23	0.164
134.4815	-48.5729	5.88	1.058
134.6218	11.8577	4.26	0.150
134.7181	-47.2347	5.17	0.261
134.8019	48.0418	3.14	0.214
134.8861	32.4186	5.23	0.907
135.0225	-41.2536	4.46	0.639
135.1599	41.7829	3.97	0.451
135.2855	-68.6839	5.89	1.606
135.4357	-52.1887	5.26	-0.122
135.4916	-0.4827	5.63	1.161
135.6116	-66.3961	4.00	0.160
135.6362	67.6296	4.77	1.515
135.6844	24.4529	5.46	-0.039
135.6867	7.2983	5.85	1.099
135.9064	47.1565	3.58	0.004
136.0017	54.2839	5.74	0.030
136.0387	-47.0977	3.75	1.191
136.2867	-72.6027	4.47	0.611
136.3504	48.5303	5.48	0.475
136.4099	-70.5385	4.67	-0.147
136.4932	5.0923	4.99	1.226
136.6324	38.4522	4.56	1.027
136.9367	10.6682	5.25	-0.095
136.9990	-43.4326	2.21	1.685
137.0002	29.6542	5.42	0.896
137.0120	-25.8585	4.61	1.563
137.1972	26.6291	5.96	0.668
137.2128	33.8822	5.95	0.602
137.2177	51.6046	4.46	0.306
137.2675	-18.3285	5.73	0.010
137.2980	-12.3577	5.77	0.918
137.3397	22.0454	5.15	0.970
137.4850	-30.3654	5.60	0.184
137.5981	67.1340	4.82	0.495
137.7294	63.5136	4.64	0.377
137.7683	-44.8679	5.02	0.169
137.8197	-62.3170	3.96	-0.169
137.9947	-19.7476	5.72	0.962
138.2999	-69.7172	1.67	0.060
138.4509	43.2178	5.30	-0.132
138.5750	-55.5696	5.26	0.977
138.5856	61.4233	5.19	0.601
138.5911	2.3143	3.89	-0.049
138.6020	-43.2275	5.25	-0.137
138.7402	-0.9400	5.86	0.819
138.8077	14.9415	5.35	1.320
138.8094	34.6335	5.99	0.829
138.9030	-38.5699	4.92	1.101
138.9378	-37.4131	4.63	0.461
138.9574	56.7414	5.28	1.572
138.9691	72.9463	5.94	0.181
139.0472	54.0219	4.82	0.204
139.0503	-57.5415	4.33	1.629
139.0960	-44.2657	5.11	1.674
139.1724	-8.7448	5.48	-0.071
139.1739	-6.3531	5.23	1.182
139.2725	-59.2752	2.25	0.202
139.2822	-14.5741	5.84	1.051
139.3218	-68.6896	5.39	0.406
139.3550	-74.8943	5.31	0.021
139.3799	46.8172	5.95	0.059
139.5245	-51.0509	5.26	-0.066
139.6080	35.3641	5.94	0.177
139.7110	36.8026	3.82	0.066
139.8881	-15.8347	5.80	1.286
139.8895	33.2981	5.80	1.286
139.9433	-11.9749	4.78	0.927
140.1209	-9.5557	4.81	0.928
140.2367	-62.4046	4.80	0.934
140.2638	34.3926	3.13	1.555
140.3733	-25.9654	4.71	1.646
140.4624	-42.1949	5.58	1.603
140.5284	-55.0107	2.48	-0.143
140.5286	2.0413	2.48	-0.143
140.6000	-46.0474	5.73	0.914
140.8010	-28.8339	4.72	0.905
141.1636	26.1823	4.47	1.233
141.3501	-5.1174	5.58	1.512
141.5748	-53.3789	5.10	-0.106
141.5930	-1.4641	5.99	1.323
141.7763	-71.6019	5.46	1.073
141.8267	-22.3438	4.73	1.152
141.8968	-8.6586	1.99	1.453
141.9449	-6.0712	5.39	0.642
142.1142	9.0568	5.42	0.601
142.1273	-66.7019	5.90	0.013
142.1666	45.6015	5.41	0.989
142.2871	-2.7690	4.92	1.116
142.3027	-20.7491	5.64	1.593
142.3113	-35.9513	4.49	1.436
142.4771	-26.5896	5.49	1.347
142.5937	-15.5774	5.85	1.202
142.5976	-58.3618	5.91	1.649
142.6750	-40.4668	3.59	0.357
142.6801	33.6557	5.86	1.030
142.8055	-57.0344	3.16	1.541
142.8821	63.0619	3.65	0.346
142.8840	-31.8718	5.91	0.269
142.8850	35.1033	5.38	1.512
142.9011	-73.0809	5.47	1.559
142.9301	22.9680	4.30	1.540
142.9864	11.2998	4.97	1.053
142.9899	9.7158	5.07	1.347
142.9955	-1.1847	4.55	0.107
143.0850	-19.4003	5.75	0.134
143.2143	51.6773	3.18	0.484
143.2324	-13.5168	5.95	1.486
143.3019	-21.1157	5.00	1.020
143.3585	-22.8639	5.91	0.028
143.4724	-80.9413	5.07	-0.138
143.5366	-51.2553	5.01	-0.182
143.5558	36.3976	4.55	0.901
143.6110	-59.2298	4.10	-0.019
143.6202	69.8303	4.56	0.775
143.6360	-5.9149	5.56	1.152
143.7660	39.6215	4.81	0.987
143.9150	50.0736	5.39	0.781
144.1786	31.1617	5.57	1.565
144.2064	-49.3550	4.34	0.178
144.2509	-25.2968	5.68	1.121
144.2608	16.4380	5.73	1.221
144.2720	81.3264	4.26	1.486
144.2912	-32.1786	5.62	1.030
144.3027	-53.6685	5.47	0.131
144.3028	6.8358	5.01	1.041
144.3683	-36.0960	5.95	1.121
144.5061	-43.1909	5.50	0.992
144.6137	4.6493	4.67	1.331
144.8375	-61.3281	4.52	-0.057
144.8661	67.2722	5.95	1.529
144.9640	-1.1428	3.90	1.319
145.0765	-14.3323	5.06	-0.138
145.1773	-57.9835	5.31	0.188
145.2876	9.8923	3.53	0.505
145.3963	31.2778	5.88	1.574
145.4497	-55.2138	5.98	-0.122
145.5618	69.2375	5.72	1.129
145.7383	72.2526	5.14	1.026
145.8886	29.9745	5.64	0.109
145.9260	-53.8913	5.55	-0.035
145.9329	14.0217	5.37	1.581
146.0504	-27.7695	4.79	0.525
146.3117	-62.5079	3.69	1.281
146.4628	23.7743	2.97	0.808
146.5419	6.7086	5.80	1.632
146.5860	-76.7761	5.44	0.893
146.5972	11.8100	5.66	1.481
146.5984	1.7856	5.65	0.348
146.6265	-44.7551	5.56	-0.159
146.6319	57.1281	5.13	1.565
146.7755	-65.0720	3.01	0.267
147.1474	46.0210	5.09	0.623
147.3670	-37.1868	5.95	1.224
147.7473	59.0387	3.78	0.309
147.8003	-59.4258	5.78	1.336
147.8696	-14.8466	4.11	0.925
147.9194	-46.5476	4.58	1.181
147.9710	24.3954	5.29	0.238
148.0266	54.0643	4.56	0.046
148.1268	-8.1050	5.08	0.037
148.1909	26.0070	3.88	1.234
148.4289	5.9586	5.94	1.631
148.4587	-51.1467	5.94	-0.155
148.5513	-25.9323	4.87	1.234
148.7135	-50.2440	5.72	0.002
148.7175	-19.0094	4.93	1.551
148.9292	49.8198	5.28	0.075
149.1082	8.9332	5.85	1.122
149.1479	-33.4185	5.83	1.204
149.2156	-54.5678	3.54	-0.095
149.4211	41.0556	5.11	0.471
149.5557	12.4448	5.26	-0.039
149.5949	72.8795	5.84	1.154
149.7178	-35.8910	5.23	0.293
149.9009	29.6452	5.75	1.052
149.9654	56.8118	5.49	1.486
150.0534	8.0442	4.67	1.592
150.1825	-82.2147	5.52	0.047
150.2527	31.9237	5.38	0.675
150.5004	-60.4209	5.94	0.263
150.7040	21.9493	5.67	-0.179
151.0873	-24.2855	5.71	0.293
151.1513	53.8917	5.72	0.496
151.2811	-13.0646	4.60	-0.084
151.5467	-47.3700	5.09	0.880
151.7896	-17.1417	5.58	1.481
151.8331	16.7627	3.52	-0.029
151.8573	35.2447	4.49	0.190
151.9761	9.9975	4.37	1.447
151.9845	-0.3716	4.48	-0.028
152.0930	11.9672	1.41	-0.036
152.2343	-51.8113	4.86	-0.130
152.3757	-68.6828	5.83	0.007
152.6470	-12.3541	3.61	1.013
152.7328	-8.4185	5.62	1.307
152.8032	37.4019	5.84	1.282
152.9436	-58.0605	5.77	-0.120
153.2015	4.6147	5.78	1.174
153.3452	-51.2330	5.28	0.263
153.4342	-70.0379	3.30	-0.070
153.4413	-40.3461	5.91	1.204
153.6840	-42.1219	3.84	0.062
153.8815	-43.1124	5.57	1.514
154.0601	29.3105	5.49	0.017
154.1697	13.7283	5.42	1.622
154.1726	23.4173	3.44	0.318
154.1740	25.3707	5.84	1.198
154.2707	-61.3323	3.37	1.538
154.2741	42.9144	3.44	0.045
154.4075	-8.0689	5.24	0.330
154.5316	-28.9920	5.52	0.258
154.8616	48.3968	6.00	1.019
154.9031	-55.0293	4.56	1.603
154.9931	19.8415	2.23	1.203
155.0696	-47.6991	5.64	1.678
155.2283	-56.0432	4.50	-0.118
155.2639	68.7477	5.89	0.237
155.5816	-41.6500	4.82	1.116
155.5823	41.4995	3.05	1.574
155.7423	-66.9015	4.97	-0.121
155.8603	-4.0740	5.93	-0.052
155.8721	-38.0098	5.34	0.246
156.0327	65.5664	4.94	-0.035
156.0988	-74.0316	3.99	0.362
156.3133	8.7848	5.62	1.602
156.4345	-7.0598	5.60	1.501
156.4784	33.7961	4.73	0.263
156.5226	-16.8363	3.82	1.478
156.7038	-54.8773	5.56	1.539
156.7879	-31.0678	4.27	1.447
156.8520	-57.6388	4.68	0.474
156.8553	-65.7047	6.00	0.098
156.9697	-58.7394	3.83	0.309
156.9708	36.7072	4.21	0.906
157.2191	-64.1723	5.30	1.857
157.3696	-2.7391	5.19	-0.060
157.3707	-29.6638	5.57	1.417
157.4228	84.2520	5.52	0.237
157.5269	38.9251	5.79	0.081
157.5728	-0.6370	5.07	-0.126
157.5839	-71.9928	4.72	0.046
157.6566	55.9805	4.83	0.529
157.7493	-13.5885	5.60	-0.033
157.7586	-73.2215	4.93	1.681
157.7694	82.5586	5.26	0.382
157.8409	-53.7155	4.90	0.491
157.9641	32.3796	5.91	0.102
158.0061	-61.6853	3.37	-0.094
158.0491	14.1373	5.44	1.685
158.2028	9.3066	3.85	-0.153
158.2369	-47.0034	5.03	1.071
158.3079	40.4256	4.73	0.212
158.3788	34.9887	5.58	0.026
158.5037	-23.7452	5.07	1.588
158.7001	6.9537	5.08	0.929
158.7728	75.7129	4.85	0.953
158.7904	57.0826	5.16	0.345
158.8035	-39.5626	5.54	2.950
158.8671	-78.6078	4.10	1.583
158.8971	-57.5576	4.44	1.611
159.1349	-12.2301	5.72	0.520
159.3072	-27.4126	4.88	1.608
159.3256	-48.2256	3.84	0.305
159.3886	-13.3845	4.92	2.709
159.6456	-16.8766	4.91	0.912
159.6801	31.9762	4.68	0.819
159.6875	-59.1830	4.74	1.630
159.7736	53.6683	5.54	1.274
159.7818	37.9100	5.84	0.590
159.8266	-55.6033	4.28	1.022
160.0482	-46.9755	5.51	-0.152
160.4856	65.7163	5.11	1.211
160.6799	-32.7157	5.63	0.003
160.7392	-64.3945	2.74	-0.200
160.7578	26.3256	5.52	0.176
160.7668	69.0762	4.99	1.402
160.8540	23.1884	5.08	0.041
160.8845	-60.5666	4.56	1.693
160.8870	46.2039	5.19	0.317
160.9306	57.1992	5.79	-0.040
161.2668	67.4114	5.99	2.410
161.4458	-80.5402	4.45	-0.178
161.4662	30.6823	5.26	-0.060
161.6023	18.8915	5.50	1.149
161.6053	14.1946	5.48	0.906
161.6924	-49.4203	2.72	0.925
161.7169	-17.2969	5.43	0.121
162.0588	-31.6879	5.88	0.024
162.1690	-1.9589	5.92	1.580
162.3143	10.5452	5.32	0.032
162.4062	-16.1936	3.11	1.250
162.4312	-9.8527	5.85	1.067
162.4876	-34.0582	5.61	0.037
162.5752	-8.8978	5.80	0.163
162.7725	-3.0927	5.95	1.479
162.7959	56.5822	5.66	1.131
162.8488	59.3201	5.56	1.158
163.3279	34.2149	3.79	1.052
163.3730	-20.1387	5.23	0.488
163.3736	-58.8532	3.79	0.933
163.3779	69.8539	5.92	1.007
163.3935	54.5851	5.12	1.336
163.4253	-70.7203	5.99	-0.020
163.4321	-2.1292	5.45	0.966
163.4948	43.1900	4.67	-0.027
163.5741	-13.7580	5.66	0.822
163.6233	-61.8266	5.95	1.752
163.8218	-60.5170	5.93	1.056
163.9033	24.7497	4.47	0.008
163.9267	0.7369	5.92	0.426
164.0061	6.1854	5.98	1.236
164.1794	-37.1378	4.60	1.014
164.2827	-50.7650	5.91	0.170
164.8073	-33.7376	5.73	0.353
164.8666	40.4303	5.03	0.620
164.8789	-16.3537	5.90	1.591
164.8866	36.0931	6.00	1.558
164.9436	-18.2988	4.08	1.091
164.9974	-43.8071	5.81	-0.067
165.0386	-42.2259	4.38	0.115
165.0487	-14.0834	5.85	1.493
165.0613	45.5263	5.45	1.466
165.1402	3.6175	4.85	1.158
165.1867	6.1014	5.00	0.155
165.2101	39.2121	5.07	0.245
165.4570	-2.4846	4.72	1.601
165.4603	56.3824	2.35	0.029
165.5824	20.1798	4.41	0.058
165.8120	-11.3035	5.51	0.936
165.9025	-0.0008	5.94	1.230
165.9320	61.7510	1.82	1.064
166.1300	-47.6791	5.68	0.248
166.2258	-35.8047	5.43	0.018
166.2543	7.3360	4.62	0.342
166.3329	-27.2936	4.93	0.380
166.6351	-62.4241	4.61	1.014
166.7079	-70.8779	5.58	-0.073
166.7259	1.9555	5.53	0.966
166.8195	-42.6387	5.17	0.035
167.1475	-58.9750	3.92	1.224
167.1833	-28.0807	5.43	0.065
167.2045	24.6585	5.69	0.069
167.3295	36.3094	5.78	1.374
167.4104	43.2077	5.91	1.548
167.4159	44.4985	3.00	1.152
167.4725	-32.3675	5.78	0.035
167.9145	-22.8258	4.46	0.031
168.1377	-49.1010	5.37	0.165
168.1501	-60.3176	4.62	0.499
168.1884	-64.1698	5.22	-0.077
168.3112	-44.3722	5.77	1.636
168.4141	-53.2318	5.75	1.299
168.4398	-0.0695	5.40	-0.023
168.5076	8.0607	5.79	1.131
168.5271	20.5237	2.56	0.152
168.5600	15.4296	3.33	0.012
168.8010	23.0955	4.57	1.559
168.9662	13.3076	5.31	1.191
169.1654	-3.6516	4.47	0.213
169.1744	49.4763	5.88	1.100
169.3225	2.0106	5.17	1.504
169.5456	31.5292	3.79	0.590
169.6197	33.0943	3.49	1.406
169.7829	38.1856	4.76	0.114
169.8352	-14.7785	3.57	1.114
170.2517	-54.4910	3.89	-0.145
170.2841	6.0293	4.05	-0.051
170.7066	43.4827	4.99	0.990
170.7839	-56.7794	5.82	-0.011
170.8028	-36.1648	5.00	1.457
170.8412	-18.7800	5.08	0.438
170.9811	10.5295	3.96	0.420
171.0097	1.4078	5.39	0.935
171.0464	-72.2566	5.59	0.009
171.1525	-10.8593	4.81	1.543
171.2205	-17.6840	4.08	0.205
171.2455	11.4303	5.79	1.359
171.3879	-37.7476	5.92	1.473
171.4016	16.4565	5.58	0.374
171.4298	-63.9725	5.17	0.497
171.4880	55.8505	5.74	0.985
171.6476	-61.1152	5.29	-0.082
171.6970	-53.1599	5.81	0.512
171.7897	-12.3567	5.93	0.488
171.9843	2.8563	4.94	1.001
172.1462	-42.6742	5.14	-0.031
172.2672	39.3370	5.36	0.018
172.4109	-24.4640	5.82	0.035
172.4244	15.4133	5.73	1.370
172.5787	-3.0035	4.76	1.525
172.6210	18.4098	5.55	1.060
172.6297	43.1732	5.95	0.513
172.8509	69.3311	3.81	1.610
172.9420	-59.4421	5.09	1.023
173.0683	-29.2610	5.64	0.535
173.0864	61.0825	5.48	0.504
173.1981	-7.8275	5.92	1.383
173.2505	-31.8576	3.54	0.944
173.5915	3.0602	5.76	0.469
173.6770	16.7969	5.95	-0.156
173.6902	-54.2641	4.62	-0.069
173.7369	-49.1365	5.50	1.037
173.7704	54.7854	5.63	1.029
173.9454	-63.0198	3.12	-0.039
174.0748	27.7814	5.82	0.243
174.1705	-9.8022	4.69	-0.059
174.2372	-0.8237	4.30	0.982
174.3151	-75.8965	5.65	0.341
174.5857	43.6254	5.57	0.343
174.6150	8.1343	5.32	1.469
174.6667	-13.2019	5.49	0.510
174.8733	-65.3978	5.09	0.763
175.0533	-34.7447	4.70	-0.074
175.1770	-53.9686	5.96	1.643
175.1961	21.3527	5.26	0.969
175.2235	-62.0901	4.94	1.100
175.2626	34.2016	5.31	0.738
175.3325	-43.0957	5.53	0.041
175.3927	31.7461	5.75	0.440
175.4331	-32.4994	5.21	1.466
175.6182	66.7449	5.31	1.265
175.8633	-37.1902	5.98	1.441
176.1907	-18.3507	4.71	0.965
176.3210	8.2581	4.84	0.172
176.4017	-66.7288	3.63	0.173
176.4332	-45.6901	5.28	-0.117
176.4648	6.5294	4.03	1.502
176.5126	47.7794	3.70	1.192
176.6284	-61.1784	4.11	0.888
176.6295	-40.5004	4.89	0.664
176.7318	55.6282	5.25	1.278
176.8298	-57.6965	5.42	1.651
176.9964	20.2189	4.53	0.556
177.1878	-26.7498	5.11	1.495
177.2649	14.5721	2.13	0.140
177.4211	-63.7885	4.32	-0.144
177.4238	34.9318	5.73	0.471
177.4859	-70.2258	4.97	1.357
177.6738	1.7647	3.60	0.560
177.7593	-5.3333	5.63	1.041
177.7862	-45.1735	4.46	1.300
177.9234	-30.8348	5.86	0.541
177.9634	-65.2059	4.94	-0.132
178.0428	-56.9877	5.56	0.058
178.2272	-33.9081	4.29	-0.087
178.4577	53.6948	2.43	0.041
178.6772	-25.7139	5.28	0.876
178.7631	8.4439	5.58	0.918
178.9172	-28.4771	5.91	1.498
178.9189	15.6468	5.53	0.112
178.9934	56.5986	5.83	1.099
179.0040	-17.1508	5.17	-0.025
179.4167	-62.4487	5.56	-0.153
179.5634	-56.3173	5.44	-0.066
179.6986	-64.3396	5.62	0.137
179.8231	33.1670	5.95	1.166
179.9066	-78.2218	4.91	-0.051
179.9871	3.6552	5.36	0.004
180.1852	-10.4460	5.54	0.774
180.2132	-19.6590	5.28	-0.193
180.2183	6.6143	4.66	0.121
180.4145	36.0421	5.59	1.030
180.5283	43.0456	5.21	0.276
180.7563	-63.3129	4.33	0.266
180.9149	-42.4341	5.16	0.414
181.0692	21.4592	5.89	0.248
181.1620	-68.3289	5.36	-0.011
181.1936	-76.5191	5.03	1.490
181.2384	-60.9683	5.98	1.668
181.3022	8.7330	4.12	0.977
181.7204	-64.6137	4.14	0.348
181.9578	-75.3670	5.16	1.293
182.0613	-48.6925	5.34	-0.017
182.1034	-24.7289	4.04	0.328
182.2242	-44.3260	5.74	0.257
182.2275	-41.2316	5.52	-0.099
182.4221	1.8979	5.96	1.130
182.5142	5.8070	5.71	0.375
182.5312	-22.6198	3.01	1.338
182.6921	27.2815	6.00	0.122
182.7499	81.7098	5.96	1.615
182.7660	-23.6024	5.46	0.051
182.9130	-52.3685	3.96	-0.147
182.9632	25.8703	5.65	1.410
183.0387	20.5421	5.60	0.956
183.0498	77.6162	5.15	0.343
183.0916	-62.9508	5.95	0.245
183.3543	-38.9292	5.77	-0.146
183.3581	10.2623	5.85	0.267
183.5112	-45.7239	5.31	1.400
183.7483	-20.8442	5.81	1.046
183.7484	-36.2209	5.81	1.046
183.7854	70.2000	5.73	1.178
183.7863	-58.7489	2.79	-0.194
183.8565	57.0326	3.30	0.092
183.9515	-17.5419	2.59	-0.073
184.0008	14.8991	5.10	0.064
184.0315	40.6602	5.67	1.564
184.0856	23.9454	4.93	0.948
184.1256	33.0615	4.99	1.147
184.3733	53.1913	5.80	1.330
184.3774	28.9372	5.71	0.178
184.3928	-67.9607	4.06	1.603
184.5868	-79.3122	4.25	-0.119
184.6094	-64.0031	4.05	-0.162
184.7083	75.1606	5.47	0.050
184.7490	-55.1430	5.01	1.577
184.9530	48.9841	5.29	1.595
184.9765	-0.6668	3.89	0.039
185.0820	26.6195	5.52	1.103
185.0874	3.3126	4.97	1.169
185.1402	-22.2159	5.21	-0.093
185.1793	17.7929	4.73	0.993
185.2120	57.8641	5.52	1.451
185.2321	-13.5657	5.15	1.045
185.3400	-60.4011	3.59	1.395
185.4893	-56.3744	5.89	1.535
185.6263	25.8462	4.80	0.503
185.7060	-57.6761	5.38	-0.096
185.8399	-24.8407	5.66	1.151
185.8976	-35.4127	5.32	-0.069
185.9364	-38.9114	5.79	-0.067
186.0062	51.5623	4.76	0.883
186.2634	56.7778	5.84	1.575
186.2990	-11.6106	5.95	0.040
186.4622	39.0186	5.02	0.943
186.6003	27.2682	4.92	0.278
186.6323	-51.4506	4.82	-0.145
186.6496	-63.0991	1.28	-0.169
186.7154	-32.8301	5.57	0.004
186.7345	28.2684	4.34	1.132
186.8963	55.7127	5.69	1.552
187.0099	-50.2306	3.91	-0.184
187.0936	-39.0412	5.46	-0.070
187.2279	25.9129	5.25	-0.019
187.4302	20.8961	5.68	0.088
187.4661	-16.5154	2.97	-0.015
187.4889	58.4057	5.36	0.215
187.5727	-23.6964	5.63	1.643
187.7915	-57.1132	1.65	1.516
188.1167	-72.1330	3.84	-0.141
188.1500	-13.8591	5.74	0.372
188.3706	69.7882	3.89	-0.120
188.3927	-12.8302	5.59	0.848
188.4122	33.2476	5.42	1.007
188.4356	41.3575	4.25	0.593
188.4448	-9.4521	5.50	-0.037
188.5968	-23.3968	2.66	0.895
188.6766	-44.6730	5.77	0.683
188.7128	22.6293	4.79	0.003
188.7823	18.3771	4.99	1.135
188.9397	-41.0219	5.12	0.227
189.1973	-5.8319	5.88	0.068
189.2431	17.0895	5.68	1.436
189.2959	-69.1356	2.69	-0.178
189.4262	-27.1389	5.41	0.336
189.5934	1.8547	5.71	1.535
189.6859	-18.2501	6.00	0.300
189.7644	-30.4224	5.86	1.195
189.7805	21.0626	5.48	0.974
189.8115	-7.9956	4.65	1.240
189.9689	-39.9873	4.64	-0.083
190.3165	-13.0139	5.17	0.432
190.3458	-46.1456	5.83	1.474
190.3793	-48.9599	2.18	0.017
190.4152	-1.4494	3.48	0.360
190.4711	10.2356	4.87	0.080
190.4880	6.8066	5.58	0.001
190.7094	-63.0586	5.31	0.185
191.0022	-28.3240	5.45	1.343
191.2475	39.2789	5.96	0.555
191.2826	45.4403	5.27	3.233
191.4044	7.6733	5.21	0.327
191.4085	-60.9813	4.69	1.049
191.5700	-68.1081	3.08	-0.166
191.5939	9.5397	5.66	0.975
191.5946	-56.4888	4.62	-0.148
191.6615	16.5777	5.11	1.346
191.6926	-33.3155	5.87	1.326
191.8290	62.7812	5.89	0.207
191.8931	66.7903	5.43	1.571
191.9303	-59.6888	1.31	-0.158
192.1094	-27.5974	5.66	0.934
192.1644	60.3198	5.84	0.480
192.2259	14.1226	5.71	0.023
192.3069	83.4129	5.31	0.025
192.4374	-71.9863	5.55	1.153
192.5448	37.5169	5.88	0.167
192.6715	-33.9993	4.91	-0.034
192.7412	-52.7874	5.71	0.124
192.9247	27.5407	4.93	0.659
193.2674	-54.9525	5.91	1.305
193.2788	-48.9433	4.32	1.368
193.3239	21.2449	4.92	0.917
193.3592	-40.1789	4.27	0.214
193.5073	55.9598	1.76	0.041
193.5777	-11.6486	6.00	0.064
193.5882	-9.5390	4.79	1.542
193.6484	-57.1779	4.00	-0.167
193.6633	-59.1467	4.61	-0.145
193.7355	47.1967	5.85	1.423
193.7438	-44.1520	5.89	0.626
193.7450	-85.1234	5.46	0.997
193.8310	-42.9157	5.46	1.641
193.8690	65.4385	5.23	0.296
193.9009	3.3975	3.42	1.501
194.0069	38.3184	2.89	-0.058
194.0732	54.0995	5.84	0.204
194.2681	-51.1988	5.17	-0.065
194.6972	75.4725	6.00	1.027
194.7310	17.4094	4.75	1.556
194.9795	66.5973	5.37	1.282
195.0686	30.7850	4.89	1.127
195.5442	10.9592	2.84	0.934
195.5678	-71.5489	3.61	1.189
195.9421	-20.5835	5.60	0.559
196.4352	35.7989	5.20	-0.062
196.4678	45.2685	5.64	1.152
196.5696	-48.4633	4.71	-0.134
196.5942	22.6162	5.64	1.432
196.6462	-41.5884	5.60	1.047
196.7261	-35.8620	5.63	0.046
196.7277	-49.9062	4.28	-0.186
196.7947	27.6247	4.78	1.483
196.9095	-53.4598	5.71	-0.065
196.9742	-10.7404	5.16	1.123
197.0298	-65.3060	5.66	-0.039
197.1353	-8.9844	5.57	1.172
197.2636	-23.1181	4.94	1.043
197.3018	10.0225	5.79	1.022
197.4875	-5.5390	4.39	-0.002
197.4970	17.5294	4.32	0.450
197.5134	38.4990	5.93	0.304
197.7870	-42.2329	5.79	0.515
197.8467	-43.3686	5.24	1.053
197.9643	-69.9420	5.91	0.419
197.9683	27.8782	4.25	0.586
