acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
10.4841	10.5935	7.1023	7.1065	0.0135	0.0043	0.0142	0.46	127	9.23
348.6519	348.6140	7.1433	7.1527	-0.0047	0.0094	0.0105	0.34	128	9.03
320.2929	320.2578	9.3065	9.3259	-0.0057	0.0194	0.0202	0.66	129	10.51
280.8405	280.9175	36.5671	36.5749	0.0458	0.0077	0.0465	1.52	130	36.20
77.1589	77.0999	40.1624	40.1373	-0.0381	-0.0251	0.0456	1.49	131	41.41
287.5094	287.5645	26.3657	26.3586	0.0245	-0.0071	0.0255	0.83	132	26.26
287.2736	287.1975	27.6467	27.6017	-0.0353	-0.0449	0.0571	1.86	133	27.49
293.2614	293.2437	21.2247	21.2165	-0.0064	-0.0082	0.0104	0.34	134	21.36
292.0549	292.0502	22.4585	22.4609	-0.0018	0.0024	0.0030	0.10	135	22.55
66.4458	66.4373	24.6763	24.6115	-0.0035	-0.0647	0.0648	2.11	136	26.20
284.8470	284.8962	33.9104	33.9021	0.0275	-0.0083	0.0287	0.94	137	33.69
298.5929	298.6076	19.8873	19.8931	0.0050	0.0059	0.0077	0.25	138	20.24
341.8806	341.8893	10.9690	10.9673	0.0017	-0.0017	0.0024	0.08	139	12.69
48.0941	48.1627	16.1980	16.1672	0.0192	-0.0308	0.0363	1.18	140	18.13
43.2009	43.2188	15.1365	15.1184	0.0047	-0.0181	0.0187	0.61	141	17.15
38.9706	39.0580	14.1611	14.1408	0.0214	-0.0203	0.0295	0.96	142	16.22
294.7871	294.8050	24.5442	24.5458	0.0074	0.0016	0.0076	0.25	143	24.73
288.1480	288.2176	32.5951	32.5811	0.0375	-0.0140	0.0400	1.30	144	32.49
282.7045	282.8085	43.9350	43.9253	0.0722	-0.0097	0.0728	2.37	145	43.61
287.1492	287.2221	34.8176	34.7999	0.0416	-0.0178	0.0452	1.48	146	34.67
50.5469	50.5410	19.7400	19.6963	-0.0020	-0.0437	0.0438	1.43	147	21.62
339.6114	339.6177	13.0209	13.0097	0.0014	-0.0113	0.0114	0.37	148	14.67
284.8711	284.9954	42.5019	42.5035	0.0840	0.0017	0.0840	2.74	149	42.27
314.5282	314.5022	17.5333	17.5188	-0.0078	-0.0145	0.0165	0.54	150	18.44
4.9620	4.9791	12.8215	12.8092	0.0038	-0.0123	0.0129	0.42	151	14.89
310.2323	310.1996	19.2087	19.1984	-0.0108	-0.0103	0.0149	0.49	152	19.97
289.3802	289.4865	35.2637	35.2575	0.0614	-0.0062	0.0617	2.01	153	35.21
55.0507	55.0235	23.4220	23.3649	-0.0108	-0.0571	0.0581	1.89	154	25.21
288.8978	288.9942	37.1961	37.2071	0.0582	0.0110	0.0593	1.93	155	37.14
